window,mape,mae,rmse,mse,directional_accuracy,precision_up,recall_up,f1_up
7,1.0486653417181464,0.010464883616987296,0.014840910542673367,0.0002202526257356335,0.49475775300739433,0.4803863591563178,0.5565197533683489,0.5156580617858654
10,1.0581996558155642,0.010558125628188381,0.014966091799607823,0.00022398390375428856,0.4853768899679947,0.47037889889051704,0.513013698630137,0.4907720869280332
15,1.04698311943787,0.010450447153709987,0.014822262720554726,0.00021969947215714637,0.5061251517492551,0.48944964107026323,0.5139333028780265,0.5013927576601671
30,1.057438970247766,0.010542735997606219,0.01492114566511206,0.0002226405879594924,0.48526652687341354,0.48405927256398745,0.9844748858447488,0.6490066225165563
